Time,Right Hand Signal,Head Signal,Strain Gauge Signal
1684295878.7074153,1015.4666666666667,3930.6666666666665,62514.13333333333
1684295878.757426,1015.4666666666667,3868.8,62501.333333333336
1684295878.8074749,1015.4666666666667,3772.8,62504.53333333333
1684295878.8574266,1017.6,3834.6666666666665,62321.066666666666
1684295878.9074419,1017.6,3824.0,62266.666666666664
1684295878.9574413,1017.6,3764.266666666667,62237.86666666667
1684295879.007505,1072.0,3751.4666666666667,62280.53333333333
1684295879.057465,1072.0,3756.8,62292.26666666667
1684295879.1074414,1068.8,3796.266666666667,62276.26666666667
1684295879.157428,1069.8666666666666,3953.0666666666666,62317.86666666667
1684295879.2074776,1070.9333333333334,4019.2,62107.73333333333
1684295879.257611,1074.1333333333334,3994.6666666666665,62146.13333333333
1684295879.3076632,1118.9333333333334,4088.5333333333333,61921.066666666666
1684295879.3576472,1118.9333333333334,4062.9333333333334,61884.8
1684295879.4076033,1123.2,4029.866666666667,61918.933333333334
1684295879.4575536,1124.2666666666667,4107.733333333334,61971.2
1684295879.5074446,1069.8666666666666,4081.0666666666666,61979.73333333333
1684295879.5574665,1122.1333333333334,4148.266666666666,61941.333333333336
1684295879.6075046,1069.8666666666666,4089.6,61944.53333333333
1684295879.6574264,1070.9333333333334,4084.266666666667,61965.86666666667
1684295879.7077262,1072.0,4005.3333333333335,61932.8
1684295879.7574854,1072.0,4005.3333333333335,62126.933333333334
1684295879.8076339,1070.9333333333334,3937.0666666666666,62110.933333333334
1684295879.8575776,1122.1333333333334,3913.6,62082.13333333333
1684295879.907416,1069.8666666666666,3941.3333333333335,62116.26666666667
1684295879.957443,1069.8666666666666,3921.0666666666666,62092.8
1684295880.0074978,1070.9333333333334,4026.6666666666665,62096.0
1684295880.0574684,1070.9333333333334,3945.6,62249.6
1684295880.1074045,1065.6,3944.5333333333333,62241.066666666666
1684295880.1574426,1065.6,3963.733333333333,62289.066666666666
1684295880.2074764,1065.6,4003.2,62536.53333333333
1684295880.2574599,1116.8,3990.4,62548.26666666667
1684295880.307608,1117.8666666666666,3882.6666666666665,62554.666666666664
1684295880.3574674,1117.8666666666666,3936.0,62604.8
1684295880.4074893,1118.9333333333334,3917.866666666667,62602.666666666664
1684295880.4579492,1120.0,4056.5333333333333,62807.46666666667
1684295880.5074015,1174.4,4057.6,63015.46666666667
1684295880.557099,1227.7333333333333,4045.866666666667,63062.4
1684295880.6063933,1227.7333333333333,4103.466666666666,62855.46666666667
1684295880.6562748,1227.7333333333333,4102.4,62808.53333333333
1684295880.7074606,1228.8,4270.933333333333,62726.4
1684295880.757446,1345.0666666666666,4264.533333333334,62561.066666666666
1684295880.8075395,1399.4666666666667,4292.266666666666,62619.73333333333
1684295880.8574345,1456.0,4295.466666666666,62578.13333333333
1684295880.9074516,1457.0666666666666,4336.0,62536.53333333333
1684295880.9574144,1515.7333333333333,4315.733333333334,62506.666666666664
1684295881.0075638,1515.7333333333333,4330.666666666667,62534.4
1684295881.057445,1517.8666666666666,4363.733333333334,62539.73333333333
1684295881.1074495,1517.8666666666666,4408.533333333334,62493.86666666667
1684295881.15746,1465.6,4381.866666666667,62520.53333333333
1684295881.2075233,1466.6666666666667,4354.133333333333,62529.066666666666
1684295881.2574449,1521.0666666666666,4454.4,62369.066666666666
1684295881.3076885,1520.0,4446.933333333333,62425.6
1684295881.3574991,1521.0666666666666,4519.466666666666,62394.666666666664
1684295881.4075334,1521.0666666666666,4561.066666666667,62267.73333333333
1684295881.4574397,1521.0666666666666,4553.6,62326.4
1684295881.507413,1523.2,4612.266666666666,62361.6
1684295881.558259,1524.2666666666667,4617.6,62338.13333333333
1684295881.6077788,1524.2666666666667,4619.733333333334,62338.13333333333
1684295881.6565197,1524.2666666666667,4556.8,62374.4
1684295881.7064517,1523.2,4587.733333333334,62369.066666666666
1684295881.7574477,1523.2,4580.266666666666,62353.066666666666
1684295881.8075283,1524.2666666666667,4630.4,62363.73333333333
1684295881.8574321,1472.0,4556.8,62547.2
1684295881.9074028,1473.0666666666666,4582.4,62584.53333333333
1684295881.9574335,1526.4,4669.866666666667,62401.066666666666
1684295882.0074751,1472.0,4668.8,62371.2
1684295882.0575023,1470.9333333333334,4675.2,62348.8
1684295882.1076283,1546.6666666666667,4708.266666666666,62061.86666666667
1684295882.157486,1546.6666666666667,4786.133333333333,62053.333333333336
1684295882.2074988,1545.6,4733.866666666667,62228.26666666667
1684295882.2574444,1543.4666666666667,4844.8,62234.666666666664
1684295882.3076065,1546.6666666666667,4759.466666666666,62439.46666666667
1684295882.3574595,1604.2666666666667,4805.333333333333,62237.86666666667
1684295882.40749,1652.2666666666667,4820.266666666666,62235.73333333333
